urun_adi,marka,rulo_sayisi,kat_sayisi,paket_fiyati_tl,parfumlu,premium,fiyat_per_rulo
Familia Plus Natural 40'lı,Familia,40,3,304.42,0,1,7.61
Solo Bambu Katkılı 40'lı,Solo,40,3,329.9,0,1,8.25
Papia Pure & Soft 4 Katlı 32'li,Papia,32,4,389.0,1,1,12.16
Selpak Comfort 3 Katlı 32'li,Selpak,32,3,345.0,0,1,10.78
Silen Ekonomik 2 Katlı 32'li,Silen,32,2,189.9,0,0,5.93
Komili Natural 3 Katlı 24'lü,Komili,24,3,249.0,0,0,10.38
Maylo Premium 3 Katlı 40'lı,Maylo,40,3,375.0,1,1,9.38
Focus Ekonomik 2 Katlı 48'li,Focus,48,2,299.0,0,0,6.23
Solo Bambu 3 Katlı 24'lü,Solo,24,3,199.0,0,1,8.29
Familia Plus 2 Katlı 32'li,Familia,32,2,265.0,0,0,8.28
Selpak Soft 3 Katlı 16'lı,Selpak,16,3,179.0,0,1,11.19
Papia Soft 2 Katlı 48'li,Papia,48,2,320.0,1,0,6.67
Teno Ekonomik 1 Katlı 72'li,Teno,72,1,310.0,0,0,4.31
Sofia Premium 4 Katlı 16'lı,Sofia,16,4,199.0,1,1,12.44
Only Ekonomi 2 Katlı 64'lü,Only,64,2,390.0,0,0,6.09
